frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
344,person,0.45,3,689,280,725,386,,,,,,
345,person,0.82,9,265,255,339,465,,,,,,
345,person,0.7,11,200,263,273,461,,,,,,
345,person,0.63,3,689,280,725,385,,,,,,
346,person,0.84,9,269,255,342,466,,,,,,
346,person,0.74,11,202,266,282,461,,,,,,
346,person,0.71,3,689,280,725,386,,,,,,
347,person,0.77,9,274,257,348,467,,,,,,
347,person,0.72,11,204,261,295,464,,,,,,
347,person,0.74,3,690,280,725,389,,,,,,
348,person,0.76,9,276,261,354,467,,,,,,
348,person,0.78,11,204,262,287,462,,,,,,
348,person,0.73,3,690,280,725,390,,,,,,
349,person,0.76,9,280,262,358,467,,,,,,
349,person,0.72,11,207,261,287,462,,,,,,
349,person,0.69,3,691,281,725,388,,,,,,
350,person,0.72,9,284,264,360,465,,,,,,
350,person,0.72,11,213,262,291,461,,,,,,
350,person,0.74,3,690,281,725,387,,,,,,
351,person,0.72,9,287,267,363,466,,,,,,
351,person,0.73,11,220,261,297,457,,,,,,
351,person,0.74,3,690,283,726,388,,,,,,
352,person,0.79,9,290,262,366,465,,,,,,
352,person,0.78,11,227,259,301,455,,,,,,
352,person,0.69,3,690,283,728,388,,,,,,
353,person,0.78,9,294,259,370,463,,,,,,
353,person,0.8,11,235,258,303,454,,,,,,
353,person,0.67,3,691,284,729,388,,,,,,
354,person,0.75,9,298,258,372,462,,,,,,
354,person,0.82,11,239,257,305,452,,,,,,
354,person,0.68,3,691,284,729,389,,,,,,
355,person,0.74,9,304,253,376,462,,,,,,
355,person,0.82,11,240,259,309,452,,,,,,
355,person,0.69,3,691,285,728,389,,,,,,
356,person,0.77,9,305,254,378,462,,,,,,
356,person,0.84,11,245,261,313,453,,,,,,
356,person,0.72,3,692,286,729,389,,,,,,
357,person,0.77,9,308,254,380,463,,,,,,
357,person,0.81,11,248,260,316,455,,,,,,
357,person,0.65,3,693,286,730,388,,,,,,
358,person,0.75,9,315,255,385,463,,,,,,
358,person,0.79,11,249,260,322,455,,,,,,
358,person,0.62,3,694,285,730,387,,,,,,
359,person,0.63,9,322,258,394,460,,,,,,
359,person,0.8,11,252,259,325,455,,,,,,
359,person,0.62,3,694,285,730,387,,,,,,
360,person,0.7,9,329,266,401,457,,,,,,
360,person,0.78,11,256,260,330,454,,,,,,
360,person,0.58,3,696,286,731,388,,,,,,
361,person,0.64,9,330,264,408,456,,,,,,
361,person,0.79,11,259,261,333,453,,,,,,
361,person,0.63,3,698,286,733,388,,,,,,
362,person,0.67,9,331,260,412,456,,,,,,
362,person,0.82,11,263,264,337,452,,,,,,
362,person,0.63,3,698,286,733,388,,,,,,
363,person,0.65,9,333,261,414,458,,,,,,
363,person,0.82,11,267,264,341,453,,,,,,
363,person,0.63,3,699,285,734,386,,,,,,
364,person,0.68,9,329,261,414,461,,,,,,
364,person,0.8,11,271,265,344,452,,,,,,
364,person,0.6,3,700,283,735,386,,,,,,
365,person,0.64,9,331,259,416,461,,,,,,
365,person,0.81,11,276,265,347,452,,,,,,
365,person,0.57,3,700,282,737,385,,,,,,
366,person,0.64,9,334,257,416,458,,,,,,
366,person,0.83,11,279,262,349,450,,,,,,
366,person,0.58,3,700,280,737,386,,,,,,
367,person,0.73,9,342,258,418,457,,,,,,
367,person,0.83,11,283,260,353,449,,,,,,
367,person,0.56,3,701,278,738,386,,,,,,
368,person,0.74,9,349,256,421,457,,,,,,
368,person,0.8,11,286,259,356,449,,,,,,
